sru_type,altitude,visibility,search_object_en,search_object_size,sweep_width
BOAT,0,10,SHIP,27,9.30
BOAT,0,10,SHIP,45,9.30
BOAT,0,10,SHIP,46,10.30
BOAT,0,10,SHIP,90,10.30
BOAT,0,10,SHIP,91,10.90
BOAT,0,15,PIW,1,0.30
BOAT,0,15,POWERBOAT,4,1.60
BOAT,0,15,POWERBOAT,5,4.00
BOAT,0,15,POWERBOAT,7,4.00
BOAT,0,15,POWERBOAT,8,5.90
BOAT,0,15,POWERBOAT,12,5.90
BOAT,0,15,POWERBOAT,13,9.30
BOAT,0,15,POWERBOAT,20,9.30
BOAT,0,15,POWERBOAT,21,11.40
BOAT,0,15,POWERBOAT,26,11.40
BOAT,0,15,RAFT,1,2.60
BOAT,0,15,RAFT,4,3.50
BOAT,0,15,RAFT,6,4.30
BOAT,0,15,RAFT,8,4.40
BOAT,0,15,RAFT,10,4.80
BOAT,0,15,RAFT,15,5.10
BOAT,0,15,RAFT,20,5.80
BOAT,0,15,RAFT,25,6.30
BOAT,0,15,SAILBOAT,5,3.60
BOAT,0,15,SAILBOAT,6,4.60
BOAT,0,15,SAILBOAT,8,5.40
BOAT,0,15,SAILBOAT,9,6.60
BOAT,0,15,SAILBOAT,12,8.60
BOAT,0,15,SAILBOAT,15,9.70
BOAT,0,15,SAILBOAT,20,10.70
BOAT,0,15,SAILBOAT,23,10.70
BOAT,0,15,SAILBOAT,24,11.60
BOAT,0,15,SAILBOAT,26,11.60
BOAT,0,15,SHIP,27,13.20
BOAT,0,15,SHIP,45,13.20
BOAT,0,15,SHIP,46,15.50
BOAT,0,15,SHIP,90,15.50
BOAT,0,15,SHIP,91,16.80
BOAT,0,20,PIW,1,0.30
BOAT,0,20,POWERBOAT,4,1.80
BOAT,0,20,POWERBOAT,5,4.50
BOAT,0,20,POWERBOAT,7,4.50
BOAT,0,20,POWERBOAT,8,6.80
BOAT,0,20,POWERBOAT,12,6.80
BOAT,0,20,POWERBOAT,13,11.10
BOAT,0,20,POWERBOAT,20,11.10
BOAT,0,20,POWERBOAT,21,14.00
BOAT,0,20,POWERBOAT,26,14.00
BOAT,0,20,RAFT,1,2.70
BOAT,0,20,RAFT,4,3.90
BOAT,0,20,RAFT,6,4.70
BOAT,0,20,RAFT,8,4.90
BOAT,0,20,RAFT,10,5.30
BOAT,0,20,RAFT,15,5.70
BOAT,0,20,RAFT,20,6.50
BOAT,0,20,RAFT,25,7.00
BOAT,0,20,SAILBOAT,5,4.00
BOAT,0,20,SAILBOAT,6,5.10
BOAT,0,20,SAILBOAT,8,6.30
BOAT,0,20,SAILBOAT,9,7.70
BOAT,0,20,SAILBOAT,12,10.30
BOAT,0,20,SAILBOAT,15,11.60
BOAT,0,20,SAILBOAT,20,13.10
BOAT,0,20,SAILBOAT,23,13.10
BOAT,0,20,SAILBOAT,24,14.20
BOAT,0,20,SAILBOAT,26,14.20
BOAT,0,20,SHIP,27,16.60
BOAT,0,20,SHIP,45,16.60
BOAT,0,20,SHIP,46,20.20
BOAT,0,20,SHIP,90,20.20
BOAT,0,20,SHIP,91,22.50
FIXED,150,1,PIW,1,0.00
FIXED,150,1,POWERBOAT,5,0.40
FIXED,150,1,POWERBOAT,6,0.50
FIXED,150,1,POWERBOAT,10,0.60
FIXED,150,1,POWERBOAT,16,0.60
FIXED,150,1,POWERBOAT,24,0.60
FIXED,150,1,RAFT,1,0.30
FIXED,150,1,RAFT,4,0.40
FIXED,150,1,RAFT,6,0.40
FIXED,150,1,RAFT,8,0.40
FIXED,150,1,RAFT,10,0.40
FIXED,150,1,RAFT,15,0.50
FIXED,150,1,RAFT,20,0.50
FIXED,150,1,RAFT,25,0.50
FIXED,150,1,SAILBOAT,5,0.50
FIXED,150,1,SAILBOAT,8,0.60
FIXED,150,1,SAILBOAT,12,0.60
FIXED,150,1,SAILBOAT,15,0.60
FIXED,150,1,SAILBOAT,21,0.60
FIXED,150,1,SAILBOAT,25,0.60
FIXED,150,1,SHIP,27,0.60
FIXED,150,1,SHIP,46,0.60
FIXED,150,1,SHIP,47,0.60
FIXED,150,1,SHIP,91,0.60
FIXED,150,1,SHIP,92,0.70
FIXED,150,3,PIW,1,0.10
FIXED,150,3,POWERBOAT,5,0.90
FIXED,150,3,POWERBOAT,6,1.70
FIXED,150,3,POWERBOAT,10,2.10
FIXED,150,3,POWERBOAT,16,2.70
FIXED,150,3,POWERBOAT,24,2.80
FIXED,150,3,RAFT,1,0.70
FIXED,150,3,RAFT,4,1.00
FIXED,150,3,RAFT,6,1.10
FIXED,150,3,RAFT,8,1.20
FIXED,150,3,RAFT,10,1.20
FIXED,150,3,RAFT,15,1.30
FIXED,150,3,RAFT,20,1.50
FIXED,150,3,RAFT,25,1.60
FIXED,150,3,SAILBOAT,5,1.60
FIXED,150,3,SAILBOAT,8,2.00
FIXED,150,3,SAILBOAT,12,2.60
FIXED,150,3,SAILBOAT,15,2.70
FIXED,150,3,SAILBOAT,21,2.80
FIXED,150,3,SAILBOAT,25,2.80
FIXED,150,3,SHIP,27,2.90
FIXED,150,3,SHIP,46,2.90
FIXED,150,3,SHIP,47,3.00
FIXED,150,3,SHIP,91,3.00
FIXED,150,3,SHIP,92,3.00
FIXED,150,5,PIW,1,0.10
FIXED,150,5,POWERBOAT,5,1.20
FIXED,150,5,POWERBOAT,6,2.40
FIXED,150,5,POWERBOAT,10,3.30
FIXED,150,5,POWERBOAT,16,4.50
FIXED,150,5,POWERBOAT,24,5.00
FIXED,150,5,RAFT,1,0.90
FIXED,150,5,RAFT,4,1.30
FIXED,150,5,RAFT,6,1.50
FIXED,150,5,RAFT,8,1.60
FIXED,150,5,RAFT,10,1.70
FIXED,150,5,RAFT,15,1.90
FIXED,150,5,RAFT,20,2.10
